svm,randomforest,naivebayes,cnn,lstm,ensemble_result
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,enthusiasm,unemotional,joy,joy,enthusiasm
fear,sympathy,unemotional,sympathy,fear,fear
sad,sad,sad,sad,sad,sad
unemotional,fear,unemotional,joy,joy,fear
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
fear,unemotional,unemotional,unemotional,fear,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,disgust,unemotional
anger,anger,anger,anger,sympathy,anger
unemotional,joy,unemotional,unemotional,joy,unemotional
unemotional,anger,unemotional,unemotional,fear,unemotional
disgust,disgust,unemotional,disgust,disgust,disgust
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,anger,joy,unemotional
unemotional,joy,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,sympathy,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,fear,unemotional
anger,unemotional,unemotional,disgust,unemotional,unemotional
unemotional,unemotional,unemotional,relief,unemotional,unemotional
unemotional,unemotional,unemotional,joy,joy,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
disgust,unemotional,unemotional,anger,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
surprise,fear,anger,anger,anger,anger
joy,joy,unemotional,anger,fear,joy
unemotional,unemotional,unemotional,unemotional,disgust,unemotional
unemotional,unemotional,unemotional,sympathy,fear,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
disgust,anger,unemotional,anger,disgust,disgust
unemotional,unemotional,unemotional,relief,joy,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
anger,anger,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,anger,unemotional,unemotional,unemotional,unemotional
anger,fear,unemotional,fear,anger,anger
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
disgust,disgust,unemotional,disgust,disgust,disgust
unemotional,unemotional,unemotional,disgust,joy,unemotional
unemotional,unemotional,unemotional,anger,joy,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
anger,anger,unemotional,anger,disgust,anger
surprise,surprise,unemotional,unemotional,unemotional,unemotional
fear,relief,fear,fear,fear,fear
unemotional,unemotional,unemotional,anger,anger,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
anger,anger,unemotional,anger,anger,anger
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,disgust,unemotional,unemotional
anger,anger,anger,anger,anger,anger
unemotional,unemotional,unemotional,unemotional,relief,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,relief,unemotional
anger,unemotional,anger,anger,anger,anger
joy,joy,unemotional,surprise,joy,joy
unemotional,anger,unemotional,disgust,joy,unemotional
relief,unemotional,unemotional,relief,relief,relief
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,disgust,disgust,unemotional
unemotional,unemotional,unemotional,anger,anger,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,disgust,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
joy,joy,unemotional,joy,joy,joy
disgust,disgust,unemotional,anger,joy,disgust
unemotional,unemotional,unemotional,relief,sympathy,unemotional
joy,happy,unemotional,unemotional,joy,joy
unemotional,unemotional,unemotional,unemotional,disgust,unemotional
sympathy,sympathy,unemotional,sympathy,sympathy,sympathy
anger,unemotional,unemotional,anger,disgust,anger
enthusiasm,disgust,unemotional,sad,joy,enthusiasm
joy,joy,unemotional,unemotional,joy,joy
anger,anger,unemotional,disgust,fear,anger
unemotional,fear,unemotional,enthusiasm,joy,unemotional
unemotional,joy,unemotional,relief,disgust,unemotional
anger,unemotional,unemotional,anger,sympathy,anger
relief,relief,unemotional,relief,sympathy,relief
unemotional,unemotional,unemotional,fear,unemotional,unemotional
unemotional,anger,unemotional,fear,disgust,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,anger,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,disgust,unemotional
anger,fear,unemotional,anger,disgust,anger
unemotional,unemotional,unemotional,anger,joy,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
relief,relief,unemotional,relief,relief,relief
anger,joy,unemotional,joy,enthusiasm,joy
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
anger,unemotional,unemotional,anger,unemotional,unemotional
unemotional,unemotional,unemotional,joy,joy,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
fear,fear,unemotional,fear,fear,fear
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,joy,unemotional
anger,unemotional,unemotional,disgust,unemotional,unemotional
sympathy,sympathy,unemotional,sympathy,sympathy,sympathy
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
anger,unemotional,unemotional,disgust,disgust,anger
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
relief,sympathy,unemotional,relief,fear,relief
unemotional,unemotional,unemotional,disgust,disgust,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
anger,anger,anger,anger,anger,anger
unemotional,unemotional,unemotional,unemotional,anger,unemotional
sad,joy,unemotional,joy,sad,sad
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,unemotional,unemotional
unemotional,unemotional,unemotional,unemotional,disgust,unemotional
fear,unemotional,unemotional,surprise,fear,fear
unemotional,disgust,unemotional,disgust,disgust,disgust
