vader,textblob,svm,randomforest,naivebayes,cnn,lstm,ensemble_result
1,1,0.0,0.0,-1.0,0.0,0.0,0.0
-1,0,1.0,1.0,1.0,1.0,1.0,1.0
-1,1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
-1,0,1.0,0.0,1.0,1.0,1.0,1.0
0,0,-1.0,0.0,-1.0,0.0,0.0,0.0
0,1,0.0,0.0,-1.0,0.0,0.0,0.0
1,1,0.0,0.0,-1.0,0.0,0.0,0.0
1,0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
0,1,1.0,1.0,-1.0,0.0,1.0,1.0
0,0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1,-1,1.0,0.0,-1.0,-1.0,1.0,-1.0
1,-1,0.0,-1.0,-1.0,0.0,0.0,1.0
0,0,0.0,0.0,-1.0,0.0,0.0,0.0
-1,-1,0.0,0.0,-1.0,0.0,0.0,0.0
-1,0,0.0,0.0,0.0,-1.0,0.0,0.0
-1,-1,-1.0,0.0,0.0,-1.0,-1.0,-1.0
0,1,1.0,-1.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0.0
0,1,0.0,0.0,-1.0,0.0,0.0,0.0
1,0,0.0,-1.0,-1.0,0.0,0.0,0.0
-1,0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
0,1,0.0,0.0,-1.0,0.0,-1.0,0.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,-1.0,1.0,-1.0,1.0,1.0,1.0
1,-1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,-1,0.0,-1.0,0.0,-1.0,0.0,1.0
-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1,0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
-1,-1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1,0,0.0,0.0,-1.0,0.0,0.0,0.0
-1,0,0.0,-1.0,0.0,0.0,0.0,0.0
0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,-1.0,1.0,1.0,1.0
-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1,1,1.0,0.0,1.0,1.0,0.0,1.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,-1,0.0,0.0,0.0,-1.0,0.0,0.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,1,0.0,0.0,0.0,-1.0,1.0,0.0
0,0,0.0,0.0,-1.0,0.0,0.0,0.0
1,-1,0.0,-1.0,0.0,0.0,1.0,0.0
-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,0.0,1.0,-1.0,-1.0,0.0,1.0
0,1,0.0,1.0,-1.0,-1.0,1.0,1.0
1,0,1.0,-1.0,-1.0,1.0,1.0,1.0
-1,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,0,0.0,0.0,-1.0,0.0,0.0,0.0
0,0,0.0,0.0,-1.0,0.0,-1.0,0.0
0,0,0.0,-1.0,-1.0,-1.0,0.0,0.0
1,-1,0.0,0.0,0.0,0.0,0.0,0.0
-1,-1,0.0,0.0,0.0,0.0,-1.0,0.0
0,-1,0.0,0.0,-1.0,0.0,0.0,0.0
1,1,1.0,1.0,1.0,1.0,1.0,1.0
1,1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
0,-1,1.0,-1.0,0.0,1.0,1.0,1.0
0,0,1.0,1.0,1.0,1.0,1.0,1.0
-1,-1,-1.0,-1.0,-1.0,0.0,0.0,-1.0
1,0,1.0,1.0,1.0,1.0,1.0,1.0
1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1,1,1.0,1.0,-1.0,0.0,0.0,1.0
1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,1,1.0,-1.0,-1.0,1.0,1.0,1.0
-1,1,1.0,1.0,1.0,1.0,0.0,1.0
0,0,-1.0,0.0,-1.0,-1.0,1.0,0.0
0,0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,0.0,-1.0,-1.0,-1.0,0.0,0.0
1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1,0,0.0,0.0,-1.0,0.0,0.0,0.0
-1,0,0.0,-1.0,0.0,0.0,0.0,0.0
1,0,-1.0,0.0,0.0,-1.0,-1.0,1.0
1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,0,0.0,1.0,0.0,1.0,1.0,-1.0
-1,-1,-1.0,1.0,-1.0,1.0,1.0,-1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
1,-1,1.0,0.0,0.0,1.0,0.0,1.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,-1.0,1.0,-1.0,1.0,1.0,0.0
1,0,-1.0,0.0,-1.0,-1.0,0.0,1.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,-1.0,0.0,0.0,0.0
-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1,0,0.0,-1.0,0.0,-1.0,1.0,0.0
0,0,0.0,0.0,-1.0,0.0,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.0,-1.0,-1.0,1.0,0.0,1.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,0.0,0.0,-1.0,-1.0,0.0,0.0
1,-1,0.0,0.0,-1.0,-1.0,0.0,1.0
-1,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1,-1,-1.0,0.0,-1.0,0.0,0.0,-1.0
-1,0,1.0,1.0,1.0,1.0,1.0,1.0
-1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,-1,0.0,0.0,-1.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0,0.0,0.0
-1,-1,0.0,0.0,0.0,0.0,0.0,0.0
-1,1,-1.0,-1.0,-1.0,1.0,1.0,-1.0
1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,-1.0,0.0,-1.0,-1.0,1.0,0.0
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
-1,0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
1,0,0.0,0.0,0.0,-1.0,0.0,0.0
1,0,-1.0,0.0,-1.0,0.0,1.0,0.0
1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
